filename,umap_x,umap_y
AI1.wav,21.393473,31.2702
AI2.wav,5.3522415,8.155054
AI3.wav,21.751778,30.679346
How to Pronounce fajita.mp3,4.4405227,8.527526
How to Pronounce fajita.wav,4.3717237,9.039277
How to Pronounce Mayonnaise(1).mp3,3.7152457,8.919683
How to Pronounce Mayonnaise(1).wav,3.9471595,8.45515
How to Pronounce Paella [0EXWMiXt0Kg].mp3,4.689217,8.025397
How to Pronounce Paella [0EXWMiXt0Kg].wav,5.0882535,8.48325
Human1.wav,20.693375,31.186272
Human2.wav,21.151083,30.958822
Original.wav,22.353498,30.982534
ttsmaker-file-2025-11-17-9-33-44.mp3,19.79209,30.433067
ttsmaker-file-2025-11-17-9-33-44.wav,20.101936,30.873768
ttsmaker-file-2025-11-17-9-35-13.mp3,20.274536,30.333672
ttsmaker-file-2025-11-17-9-35-13.wav,20.66073,30.048622
ttsmaker-file-2025-11-17-9-36-10.mp3,3.9125416,9.480284
ttsmaker-file-2025-11-17-9-36-10.wav,3.6380544,9.769768
