filename,umap_x,umap_y
AI1.wav,4.8773236,3.4739947
AI2.wav,14.621108,-3.6048696
AI3.wav,5.0657735,4.130123
How to Pronounce fajita.wav,15.943201,-3.7779956
How to Pronounce Mayonnaise(1).wav,15.668614,-4.326946
How to Pronounce Paella [0EXWMiXt0Kg].wav,14.860109,-4.3638506
Human1.wav,4.0563583,2.8516636
Human2.wav,4.7376246,2.7918167
ttsmaker-file-2025-11-17-9-33-44.wav,4.1853433,4.013021
ttsmaker-file-2025-11-17-9-35-13.wav,3.9225602,3.54006
ttsmaker-file-2025-11-17-9-36-10.wav,15.381429,-3.8083415
